"","EntryPublished","the_day","posted_on_YT","keyword","video_ID","yt_long_ID","channel name","EntryURL","region","RSS"
"11","January 05, 2024 at 09:54PM","2024-01-05","2024-01-05T11:08:35Z","gender identity","_a2VRNj8fIw","UCuveMoRCsg7-W6ePw6lq7tA","13 ON YOUR SIDE","https://www.youtube.com/watch?v=_a2VRNj8fIw","all regions",14792114867614312448
"12","April 28, 2024 at 09:01AM","2024-04-28","2024-04-28T03:08:42Z","gender ideology","_bqfUl-roRA","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=_bqfUl-roRA",NA,8717893479030415360
"13","March 29, 2024 at 12:07PM","2024-03-29","2024-03-29T15:34:52Z","transgender","_c_264SyI8g","UCNZyLULUQBp5e9Q1cKtvk6Q","CBS New York","https://www.youtube.com/watch?v=_c_264SyI8g","all regions",1916116072231156224
"14","March 05, 2024 at 04:09PM","2024-03-05","2024-03-05T09:13:07Z","gender ideology","_ctiUiQZv4E","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=_ctiUiQZv4E",NA,8717893479030415360
"15","March 21, 2024 at 12:25PM","2024-03-21","2024-03-21T09:45:02Z","gender ideology","_E7pb0nWBcM","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=_E7pb0nWBcM",NA,8717893479030415360
"16","November 20, 2024 at 07:20PM","2024-11-20","2024-11-21T00:09:11Z","transgender","_f1S-ikW2C0","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","https://www.youtube.com/watch?v=_f1S-ikW2C0","all regions",1916116072231156224
"17","November 20, 2024 at 07:20PM","2024-11-20","2024-11-21T00:09:11Z","transgender","_f1S-ikW2C0","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","https://www.youtube.com/watch?v=_f1S-ikW2C0","USA",11193014132467406848
"18","April 16, 2024 at 12:27PM","2024-04-16","2024-04-16T09:49:44Z","transgender","_H6LaNXAi5Q","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=_H6LaNXAi5Q","USA",11193014132467406848
"19","July 27, 2024 at 06:04AM","2024-07-27","2024-07-27T10:00:35Z","gender ideology","_hgjrth3z2c","UCRK4_2FGAAmajCaB8ZefJHw","spiked","https://www.youtube.com/watch?v=_hgjrth3z2c",NA,8717893479030415360
"20","January 07, 2024 at 11:34AM","2024-01-07","2024-01-07T16:26:03Z","gender ideology","_Ld_c1Q26F0","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=_Ld_c1Q26F0",NA,8717893479030415360
"21","October 05, 2024 at 12:31PM","2024-10-05","2024-10-05T16:00:35Z","gender confusion","_O0aN97m36Y","UCYI_ychRnL7sJrG6PUSBpQA","CBN News","https://www.youtube.com/watch?v=_O0aN97m36Y",NA,15648170854463737856
"22","February 18, 2024 at 04:00PM","2024-02-18","2024-02-18T20:56:41Z","transgender","_Oo5NqdqBwc","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=_Oo5NqdqBwc","USA",11193014132467406848
"23","February 18, 2024 at 04:00PM","2024-02-18","2024-02-18T20:56:41Z","transgender","_Oo5NqdqBwc","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=_Oo5NqdqBwc","all regions",1916116072231156224
"24","August 10, 2024 at 10:42PM","2024-08-10","2024-08-11T02:30:03Z","gender identity","_po6PDI4aAU","UCMscWako8oDvpdF4pppku-g","CBS 8 San Diego","https://www.youtube.com/watch?v=_po6PDI4aAU","all regions",14792114867614312448
"25","January 06, 2024 at 01:16PM","2024-01-06","2024-01-06T18:00:16Z","gender ideology","_T6Wqhfndqg","UCg40OxZ1GYh3u3jBntB6DLg","Forbes Breaking News","https://www.youtube.com/watch?v=_T6Wqhfndqg",NA,8717893479030415360
"26","June 10, 2024 at 12:11PM","2024-06-10","2024-06-10T15:30:15Z","gender ideology","_TnAro6Ipg8","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=_TnAro6Ipg8",NA,8717893479030415360
"27","June 10, 2024 at 12:11PM","2024-06-10","2024-06-10T15:30:15Z","gender identity","_TnAro6Ipg8","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=_TnAro6Ipg8","all regions",14792114867614312448
"28","June 25, 2024 at 06:56AM","2024-06-25","2024-06-24T19:02:10Z","gender ideology","_UF-TdgiuGk","UCTrQ7HXWRRxr7OsOtodr2_w","Channel 4 News","https://www.youtube.com/watch?v=_UF-TdgiuGk",NA,8717893479030415360
"29","June 24, 2024 at 03:07PM","2024-06-24","2024-06-24T19:02:10Z","biological sex","_UF-TdgiuGk","UCTrQ7HXWRRxr7OsOtodr2_w","Channel 4 News","https://www.youtube.com/watch?v=_UF-TdgiuGk","all regions",17630397442231169024
"30","January 22, 2024 at 06:19PM","2024-01-22","2024-01-22T22:19:26Z","transgender","_ujrSNcJupg","UCjIW0v5re6AvD4X2vqYgu9w","WJTV 12 News","https://www.youtube.com/watch?v=_ujrSNcJupg","all regions",1916116072231156224
"31","December 07, 2024 at 11:10AM","2024-12-07","2024-12-07T04:03:19Z","transgender","_w0LOPwVRPg","UCZFMm1mMw0F81Z37aaEzTUA","NDTV","https://www.youtube.com/watch?v=_w0LOPwVRPg","all regions",1916116072231156224
"32","December 07, 2024 at 11:10AM","2024-12-07","2024-12-07T04:03:19Z","transgender","_w0LOPwVRPg","UCZFMm1mMw0F81Z37aaEzTUA","NDTV","https://www.youtube.com/watch?v=_w0LOPwVRPg","USA",11193014132467406848
"33","November 16, 2024 at 09:26PM","2024-11-16","2024-11-17T02:23:51Z","transgender","_WcdSKTyeJY","UCF4LEacx9sDvAbEJnlaJfKQ","KPIX | CBS NEWS BAY AREA","https://www.youtube.com/watch?v=_WcdSKTyeJY","all regions",1916116072231156224
"34","November 16, 2024 at 09:26PM","2024-11-16","2024-11-17T02:23:51Z","transgender","_WcdSKTyeJY","UCF4LEacx9sDvAbEJnlaJfKQ","KPIX | CBS NEWS BAY AREA","https://www.youtube.com/watch?v=_WcdSKTyeJY","USA",11193014132467406848
"35","December 13, 2024 at 05:21PM","2024-12-13","2024-12-13T22:17:30Z","transgender","_ZQWvpMmAEI","UCa80ZoUUvKdOpuWN6khnWaA","NJ Spotlight News","https://www.youtube.com/watch?v=_ZQWvpMmAEI","USA",11193014132467406848
"36","December 14, 2024 at 05:21AM","2024-12-14","2024-12-13T22:17:30Z","gender identity","_ZQWvpMmAEI","UCa80ZoUUvKdOpuWN6khnWaA","NJ Spotlight News","https://www.youtube.com/watch?v=_ZQWvpMmAEI","USA",4028362110021709824
"37","December 14, 2024 at 05:21AM","2024-12-14","2024-12-13T22:17:30Z","gender identity","_ZQWvpMmAEI","UCa80ZoUUvKdOpuWN6khnWaA","NJ Spotlight News","https://www.youtube.com/watch?v=_ZQWvpMmAEI","all regions",14792114867614312448
"38","August 19, 2024 at 08:50PM","2024-08-19","2024-08-20T00:43:14Z","transgender","_ZthpjQhYB4","UCCjsvWYJ00k9T6C20iBH2-g","ABC4 Utah","https://www.youtube.com/watch?v=_ZthpjQhYB4","USA",11193014132467406848
"39","August 19, 2024 at 08:55PM","2024-08-19","2024-08-20T00:43:14Z","transgender","_ZthpjQhYB4","UCCjsvWYJ00k9T6C20iBH2-g","ABC4 Utah","https://www.youtube.com/watch?v=_ZthpjQhYB4","all regions",1916116072231156224
"40","April 25, 2024 at 05:08AM","2024-04-25","2024-04-25T02:40:44Z","gender identity","--UNis-PleY","UCO6kzQ-7wcG0x8W5LpBA9RQ","NewsChannel 5","https://www.youtube.com/watch?v=--UNis-PleY","all regions",14792114867614312448
"41","August 21, 2024 at 01:25PM","2024-08-21","2024-08-21T17:14:51Z","transgender","-1wUfMJzjV0","UCPWXiRWZ29zrxPFIQT7eHSA","The Hill","https://www.youtube.com/watch?v=-1wUfMJzjV0","all regions",1916116072231156224
"42","August 21, 2024 at 01:25PM","2024-08-21","2024-08-21T17:14:51Z","transgender","-1wUfMJzjV0","UCPWXiRWZ29zrxPFIQT7eHSA","The Hill","https://www.youtube.com/watch?v=-1wUfMJzjV0","USA",11193014132467406848
"43","October 19, 2024 at 02:09PM","2024-10-19","2024-10-19T10:30:00Z","gender identity","-2ZYOWdJDYU","UC8p1vwvWtl6T73JiExfWs1g","CBS News","https://www.youtube.com/watch?v=-2ZYOWdJDYU","USA",4028362110021709824
"44","October 19, 2024 at 02:09PM","2024-10-19","2024-10-19T10:30:00Z","gender identity","-2ZYOWdJDYU","UC8p1vwvWtl6T73JiExfWs1g","CBS News","https://www.youtube.com/watch?v=-2ZYOWdJDYU","all regions",14792114867614312448
"45","May 12, 2024 at 10:56AM","2024-05-12","2024-05-11T23:13:30Z","gender ideology","-59D7hqv7-k","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=-59D7hqv7-k",NA,8717893479030415360
"46","September 19, 2024 at 04:20PM","2024-09-19","2024-09-19T13:50:29Z","transgender","-5pRIW4Rh7k","UCqsDMOucTPxRHDgsvfrwxWw","Eyewitness News WEHT WTVW","https://www.youtube.com/watch?v=-5pRIW4Rh7k","all regions",1916116072231156224
"47","April 19, 2024 at 12:00AM","2024-04-19","-6BkagYGnmA","gender ideology","-6BkagYGnmA","-6BkagYGnmA","-6BkagYGnmA","https://www.youtube.com/watch?v=-6BkagYGnmA",NA,8717893479030415360
"48","February 04, 2024 at 03:19PM","2024-02-04","2024-02-04T20:04:32Z","gender identity","-6IJpQmkM2s","UCuFFtHWoLl5fauMMD5Ww2jA","CBC News","https://www.youtube.com/watch?v=-6IJpQmkM2s","all regions",14792114867614312448
"49","February 04, 2024 at 04:43PM","2024-02-04","2024-02-04T20:04:32Z","transgender","-6IJpQmkM2s","UCuFFtHWoLl5fauMMD5Ww2jA","CBC News","https://www.youtube.com/watch?v=-6IJpQmkM2s","USA",11193014132467406848
"50","June 05, 2024 at 07:46PM","2024-06-05","2024-06-05T23:41:06Z","transgender","-8GzpXxn37o","UC1JAwKeDUjN2orv5t7LWODQ","KARE 11","https://www.youtube.com/watch?v=-8GzpXxn37o","all regions",1916116072231156224
"51","November 12, 2024 at 06:52AM","2024-11-12","2024-11-12T11:48:32Z","transgender","-8V2JB0TMYE","UCUx2xAViYolMLCQAC8vgYvw","CBS 13 News","https://www.youtube.com/watch?v=-8V2JB0TMYE","all regions",1916116072231156224
"52","November 12, 2024 at 06:52AM","2024-11-12","2024-11-12T11:48:32Z","transgender","-8V2JB0TMYE","UCUx2xAViYolMLCQAC8vgYvw","CBS 13 News","https://www.youtube.com/watch?v=-8V2JB0TMYE","USA",11193014132467406848
"53","September 04, 2024 at 08:47PM","2024-09-04","2024-09-05T00:28:30Z","transgender","-9_ux68rOrg","UCunkVlKjHWCJ6OKfffus19Q","ABC News 4","https://www.youtube.com/watch?v=-9_ux68rOrg","all regions",1916116072231156224
"54","June 12, 2024 at 01:22PM","2024-06-12","2024-06-12T17:16:19Z","gender confusion","-akz8ld0fqo","UCYI_ychRnL7sJrG6PUSBpQA","CBN News","https://www.youtube.com/watch?v=-akz8ld0fqo",NA,15648170854463737856
"55","March 27, 2024 at 11:39PM","2024-03-27","2024-03-27T21:18:13Z","transgender","-alSxyDeR2Y","UCAKK8dbcSmckr2sWJhv5ezA","WBNS 10TV","https://www.youtube.com/watch?v=-alSxyDeR2Y","all regions",1916116072231156224
"56","May 25, 2024 at 02:45PM","2024-05-25","2024-05-25T18:40:14Z","gender ideology","-aY3z9jZ-v8","UCjDsbbzHgTrGc4Ff26TJtsA","E! News","https://www.youtube.com/watch?v=-aY3z9jZ-v8",NA,8717893479030415360
"57","December 04, 2024 at 11:14PM","2024-12-04","2024-12-05T00:36:33Z","gender identity","-cpKSVNlflo","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","https://www.youtube.com/watch?v=-cpKSVNlflo","all regions",14792114867614312448
"58","May 06, 2024 at 08:18AM","2024-05-06","2024-05-06T11:35:35Z","transgender","-cTwj9UGr0c","UCWCEYVwSqr7Epo6sSCfUgiw","MIRROR NOW","https://www.youtube.com/watch?v=-cTwj9UGr0c","all regions",1916116072231156224
"59","May 22, 2024 at 05:48PM","2024-05-22","2024-05-22T17:00:07Z","gender ideology","-dZimJ3g22E","UC0uVZd8N7FfIZnPu0y7o95A","ReasonTV","https://www.youtube.com/watch?v=-dZimJ3g22E",NA,8717893479030415360
"60","March 13, 2024 at 03:34PM","2024-03-13","2024-03-13T19:21:15Z","gender ideology","-Eblhle06eM","UCCj2OE6mkIuPY3vP4pazmqQ","LARRY with Larry O'Connor","https://www.youtube.com/watch?v=-Eblhle06eM",NA,8717893479030415360
"61","August 25, 2024 at 08:05PM","2024-08-25","2024-08-25T14:15:53Z","gender ideology","-f8QMoa9ZbE","UCZFMm1mMw0F81Z37aaEzTUA","NDTV","https://www.youtube.com/watch?v=-f8QMoa9ZbE",NA,8717893479030415360
"62","November 19, 2024 at 03:50AM","2024-11-19","2024-11-19T08:30:25Z","gender ideology","-G-oBEj1YoA","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=-G-oBEj1YoA",NA,8717893479030415360
"63","May 23, 2024 at 07:11AM","2024-05-23","-GEXDmhW3yw","gender ideology","-GEXDmhW3yw","-GEXDmhW3yw","-GEXDmhW3yw","https://www.youtube.com/watch?v=-GEXDmhW3yw",NA,8717893479030415360
"64","May 17, 2024 at 11:45PM","2024-05-17","2024-05-17T21:14:47Z","gender ideology","-gO5LZFEGPI","UC86dbj-lbDks_hZ5gRKL49Q","AFP News Agency","https://www.youtube.com/watch?v=-gO5LZFEGPI",NA,8717893479030415360
"65","February 19, 2024 at 06:16AM","2024-02-19","-H1eKtIA4N8","transgender","-H1eKtIA4N8","-H1eKtIA4N8","-H1eKtIA4N8","https://www.youtube.com/watch?v=-H1eKtIA4N8","USA",11193014132467406848
"66","August 11, 2024 at 05:09PM","2024-08-11","2024-08-11T20:58:50Z","gender ideology","-HVxDFZFsRI","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=-HVxDFZFsRI",NA,8717893479030415360
"67","August 11, 2024 at 05:09PM","2024-08-11","2024-08-11T20:58:50Z","gender identity","-HVxDFZFsRI","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=-HVxDFZFsRI","all regions",14792114867614312448
"68","June 11, 2024 at 03:18AM","2024-06-11","2024-06-10T12:45:00Z","gender ideology","-jM35L5gdl8","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=-jM35L5gdl8",NA,8717893479030415360
"69","March 09, 2024 at 05:30AM","2024-03-09","2024-03-09T04:01:46Z","gender confusion","-keNPtXXmu8","UCRntP8_e9ZPvlO0oru63cbQ","WNEP","https://www.youtube.com/watch?v=-keNPtXXmu8",NA,15648170854463737856
"70","January 18, 2024 at 01:23AM","2024-01-18","2024-01-17T23:13:11Z","biological sex","-kg3T7Olhh0","UCc5jfAeOLbxD9HrKKIdPTng","WBOY 12 News","https://www.youtube.com/watch?v=-kg3T7Olhh0","all regions",17630397442231169024
"71","February 12, 2024 at 09:16PM","2024-02-12","2024-02-12T20:59:28Z","gender ideology","-KZ7_REN594","UCshwRhftzkiov5wKR7M_LsQ","The Independent","https://www.youtube.com/watch?v=-KZ7_REN594",NA,8717893479030415360
"72","July 17, 2024 at 10:53PM","2024-07-17","2024-07-17T20:21:26Z","transgender","-L9XNsxHYF0","UC8BxSGcBKriJvoeyKOnJ6tA","The Washington Examiner","https://www.youtube.com/watch?v=-L9XNsxHYF0","all regions",1916116072231156224
"73","February 13, 2024 at 06:55PM","2024-02-13","2024-02-13T23:17:02Z","biological sex","-Lc6uk3-3Gc","UCoIhMkbeDRBImkGiA5mZp5A","KOCO 5 News","https://www.youtube.com/watch?v=-Lc6uk3-3Gc","all regions",17630397442231169024
"74","February 13, 2024 at 06:20PM","2024-02-13","2024-02-13T23:17:02Z","biological sex","-Lc6uk3-3Gc","UCoIhMkbeDRBImkGiA5mZp5A","KOCO 5 News","https://www.youtube.com/watch?v=-Lc6uk3-3Gc","USA",16843718063138846720
"75","January 15, 2024 at 12:29PM","2024-01-15","2024-01-15T17:14:23Z","gender ideology","-LP9ixtA7bc","UC0vn8ISa4LKMunLbzaXLnOQ","GBNews","https://www.youtube.com/watch?v=-LP9ixtA7bc",NA,8717893479030415360
"76","November 21, 2024 at 02:35PM","2024-11-21","2024-11-21T19:30:00Z","gender ideology","-n_0sQ4WMqk","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=-n_0sQ4WMqk",NA,8717893479030415360
"77","March 15, 2024 at 08:57PM","2024-03-15","2024-03-15T17:51:34Z","transgender","-Nf_6NI5Xbc","UCw77677G3EAODp61b0izs7w","6abc Philadelphia","https://www.youtube.com/watch?v=-Nf_6NI5Xbc","all regions",1916116072231156224
"78","March 15, 2024 at 02:13PM","2024-03-15","2024-03-15T17:51:34Z","transgender","-Nf_6NI5Xbc","UCw77677G3EAODp61b0izs7w","6abc Philadelphia","https://www.youtube.com/watch?v=-Nf_6NI5Xbc","USA",11193014132467406848
"79","May 21, 2024 at 01:18AM","2024-05-21","2024-05-20T23:00:11Z","gender ideology","-nuqpfZnUB8","UCysqAUCNB_Xqk7GaadCdCVw","fijivillage","https://www.youtube.com/watch?v=-nuqpfZnUB8",NA,8717893479030415360
"80","April 20, 2024 at 01:48AM","2024-04-20","2024-04-19T23:33:52Z","gender identity","-P2gQ5SB_I0","UCVKYCeuR3OyO-M2rfUXHDyg","KTVB","https://www.youtube.com/watch?v=-P2gQ5SB_I0","all regions",14792114867614312448
"81","August 07, 2024 at 10:24PM","2024-08-07","2024-08-08T02:21:17Z","transgender","-pjpxCAoGcQ","UC-H-L8u8PzzgdAzBLrqU6PQ","WBFF FOX45 Baltimore","https://www.youtube.com/watch?v=-pjpxCAoGcQ","USA",11193014132467406848
"82","August 07, 2024 at 10:24PM","2024-08-07","2024-08-08T02:21:17Z","transgender","-pjpxCAoGcQ","UC-H-L8u8PzzgdAzBLrqU6PQ","WBFF FOX45 Baltimore","https://www.youtube.com/watch?v=-pjpxCAoGcQ","all regions",1916116072231156224
"83","October 30, 2024 at 07:34PM","2024-10-30","2024-10-30T23:32:21Z","transgender","-qOQwoMp4E8","UCxXTyFekH99JnS3qaXIQW7A","KVUE","https://www.youtube.com/watch?v=-qOQwoMp4E8","all regions",1916116072231156224
"84","October 30, 2024 at 07:34PM","2024-10-30","2024-10-30T23:32:21Z","transgender","-qOQwoMp4E8","UCxXTyFekH99JnS3qaXIQW7A","KVUE","https://www.youtube.com/watch?v=-qOQwoMp4E8","USA",11193014132467406848
"85","April 16, 2024 at 07:09PM","2024-04-16","2024-04-16T23:00:00Z","gender confusion","-rVk2yPuGEs","UCYI_ychRnL7sJrG6PUSBpQA","CBN News","https://www.youtube.com/watch?v=-rVk2yPuGEs",NA,15648170854463737856
"86","April 06, 2024 at 09:58AM","2024-04-06","2024-04-06T09:39:09Z","biological sex","-SoAshpVFbg","UCeEPehSV8K34BL4PFzcTHkA","The Christian Institute","https://www.youtube.com/watch?v=-SoAshpVFbg","all regions",17630397442231169024
"87","April 11, 2024 at 07:35PM","2024-04-11","2024-04-11T11:00:00Z","gender ideology","-Vh-ehAf7c8","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=-Vh-ehAf7c8",NA,8717893479030415360
"88","February 08, 2024 at 10:13AM","2024-02-08","2024-02-08T13:30:00Z","transgender","-VJ6hhQ3Oe4","UC3EmxrWVl7K8xBH_UVIWY4Q","The Mirror","https://www.youtube.com/watch?v=-VJ6hhQ3Oe4","all regions",1916116072231156224
"89","February 08, 2024 at 09:14AM","2024-02-08","2024-02-08T13:30:00Z","transgender","-VJ6hhQ3Oe4","UC3EmxrWVl7K8xBH_UVIWY4Q","The Mirror","https://www.youtube.com/watch?v=-VJ6hhQ3Oe4","USA",11193014132467406848
"90","March 13, 2024 at 06:01PM","2024-03-13","2024-03-13T21:55:04Z","transgender","-WZNvZnZvvk","UCzF4Ryn8TKn64md77gS5Q5Q","11Alive","https://www.youtube.com/watch?v=-WZNvZnZvvk","all regions",1916116072231156224
"91","April 29, 2024 at 07:30AM","2024-04-29","2024-04-29T11:20:25Z","gender ideology","-y1BfIKrVss","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=-y1BfIKrVss",NA,8717893479030415360
"92","April 29, 2024 at 07:30AM","2024-04-29","2024-04-29T11:20:25Z","gender identity","-y1BfIKrVss","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=-y1BfIKrVss","all regions",14792114867614312448
"93","April 03, 2024 at 08:14AM","2024-04-03","2024-04-02T18:15:07Z","gender ideology","-Z3YZ6ZyNMk","UCJdKr0Bgd_5saZYqLCa9mng","The Rubin Report","https://www.youtube.com/watch?v=-Z3YZ6ZyNMk",NA,8717893479030415360
"94","June 13, 2024 at 09:13AM","2024-06-13","2024-06-13T02:39:20Z","gender ideology","0-GYlGReL3o","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=0-GYlGReL3o",NA,8717893479030415360
"95","January 18, 2024 at 04:14PM","2024-01-18","2024-01-18T14:46:18Z","gender ideology","01DPXvzCTuM","UCQfzgoCt72pQNpkvnHjNvog","The Conversation","https://www.youtube.com/watch?v=01DPXvzCTuM",NA,8717893479030415360
"96","January 08, 2024 at 07:06AM","2024-01-08","2024-01-08T07:45:51Z","gender identity","03dmGXMw_Gg","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=03dmGXMw_Gg","all regions",14792114867614312448
"97","December 04, 2024 at 02:52AM","2024-12-04","2024-12-04T01:50:22Z","transgender","05MhlFltnkk","UC2xLESFeytXO0j7pgVBf7fg","NBC Montana","https://www.youtube.com/watch?v=05MhlFltnkk","all regions",1916116072231156224
"98","December 04, 2024 at 02:52AM","2024-12-04","2024-12-04T01:50:22Z","transgender","05MhlFltnkk","UC2xLESFeytXO0j7pgVBf7fg","NBC Montana","https://www.youtube.com/watch?v=05MhlFltnkk","USA",11193014132467406848
"99","January 17, 2024 at 07:18PM","2024-01-17","2024-01-17T18:00:00Z","transgender","07qzlOyvhm8","UCKdALw0BErtqmGI2AUtbbhg","TMJ4 News","https://www.youtube.com/watch?v=07qzlOyvhm8","all regions",1916116072231156224
"100","February 19, 2024 at 10:23PM","2024-02-19","2024-02-20T02:40:47Z","gender identity","08_DCOClKH4","UC00SLi9yOR6iJXX-_cU2APg","Next 9NEWS","https://www.youtube.com/watch?v=08_DCOClKH4","all regions",14792114867614312448
"101","January 15, 2024 at 06:02AM","2024-01-15","2024-01-15T10:54:39Z","gender ideology","0al-JMmuI_o","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=0al-JMmuI_o",NA,8717893479030415360
"102","January 15, 2024 at 07:43AM","2024-01-15","2024-01-15T10:54:39Z","transgender","0al-JMmuI_o","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","https://www.youtube.com/watch?v=0al-JMmuI_o","all regions",1916116072231156224
"103","January 18, 2024 at 11:55PM","2024-01-18","2024-01-19T04:31:57Z","biological sex","0aS6fCnEMRs","UCc5jfAeOLbxD9HrKKIdPTng","WBOY 12 News","https://www.youtube.com/watch?v=0aS6fCnEMRs","all regions",17630397442231169024
"104","May 09, 2024 at 09:13AM","2024-05-09","2024-05-09T09:45:00Z","biological sex","0AXsB2m5FQI","UCm0yTweyAa0PwEIp0l3N_gA","TalkTV","https://www.youtube.com/watch?v=0AXsB2m5FQI","all regions",17630397442231169024
"105","November 01, 2024 at 06:13AM","2024-11-01","2024-11-01T09:59:31Z","transgender","0byWCLjwjHE","UCYlh4lH762HvHt6mmiecyWQ","Sun News","https://www.youtube.com/watch?v=0byWCLjwjHE","USA",11193014132467406848
"106","December 05, 2024 at 10:09PM","2024-12-05","2024-12-05T21:06:16Z","gender identity","0cg_9l_jLR8","UCMZHX2oh_s9kFhmCRCNosuw","Iowa's News Now","https://www.youtube.com/watch?v=0cg_9l_jLR8","USA",4028362110021709824
"107","September 11, 2024 at 12:24AM","2024-09-11","2024-09-11T03:57:01Z","transgender","0DWjRW4qUys","UCw77677G3EAODp61b0izs7w","6abc Philadelphia","https://www.youtube.com/watch?v=0DWjRW4qUys","all regions",1916116072231156224
"108","December 23, 2024 at 10:16AM","2024-12-23","2024-12-23T15:03:10Z","transgender","0dZt5X1W6So","UCwqusr8YDwM-3mEYTDeJHzw","Republic World","https://www.youtube.com/watch?v=0dZt5X1W6So","all regions",1916116072231156224
"109","December 23, 2024 at 04:05PM","2024-12-23","2024-12-23T15:03:10Z","transgender","0dZt5X1W6So","UCwqusr8YDwM-3mEYTDeJHzw","Republic World","https://www.youtube.com/watch?v=0dZt5X1W6So","USA",11193014132467406848
