"","month","year","mention_1","mention_2","pullURL","flag","EntryTitle","google_news_keyword"
"200",6,2023,,"sex change","getreligion.org",,"Evolving journalism doctrines: Associated Press adds clarity on the 'T' in LGBTQ+","transgenderism"
"201",6,2023,,"sex change","washingtonexaminer.com",,"Transgenderism turns the judiciary into an absurd mess - Washington Examiner","transgenderism"
"202",5,2023,,"sex change","skynews.com.au",,"Democrat ridiculed for 'unhinged' transgender rant - Sky News Australia","transgender"
"203",5,2023,,"sex change","youtube.com",,"Democrat ridiculed for 'unhinged' transgender rant - YouTube","transgender"
"204",5,2023,,"sex change","thejewishvoice.com",,"Kiss' Paul Stanley Blasts 'Sad And Dangerous Fad' Of Transgenderism - The Jewish Voice","transgenderism"
"205",5,2023,,"sex change","mrctv.org",,"Johns Hopkins Medicine Allows Staff to Use New Pronouns, Like 'Faerself,' 'Ve,' 'Xe'","transgenderism"
"206",4,2023,,"sex change","limaohio.com",,"Letter: Arguments against the woke ideology - LimaOhio.com","gender ideology"
"207",4,2023,,"sex change","powerlineblog.com",,"Corporate America Is Woke. Now What? | Power Line","transgenderism"
"208",4,2023,,"sex change","fism.tv",,"Dutch TV show exposes kids to genitally mutilated trans nude adults - FISM TV","transgenderism"
"209",4,2023,,"sex change","dailysignal.com",,"I Fell for Deception of Transgenderism - The Daily Signal","transgenderism"
"210",4,2023,,"sex change","theepochtimes.com",,"DeSantis Slams 'Cultural Marxism' at Liberty University, Vows 'War on Woke'","gender ideology"
"211",3,2023,,"sex change","breitbart.com",,"Joe Biden Calls Florida Barring Transgender Procedures on Children 'Close to Sinful' in ... - Breitbart","transgender"
"212",3,2023,,"sex change","thepostmillennial.com",,"BREAKING: LGBT activists CRASH Kirk Cameron's Arkansas children's book reading","gender ideology"
"213",2,2023,,"sex change","ifamnews.com",,"Equal but different and complementary - IFN - International Family News","biological sex"
"214",2,2023,,"sex change","catholicworldreport.com",,"Bill banning transgender sex change procedures for children passes Tennessee Legislature","transgender"
"215",2,2023,,"sex change","purewow.com",,"Zaya Wade Is Officially Granted Legal Name Change - PureWow","gender identity"
"216",1,2023,,"sex change","tvpworld.com",,"Scotland: rapist changes gender, asks to serve sentence in women's prison - TVP World","biological sex"
