"","EntryPublished","quarter","the_day","EntryTitle","region","keyword","dayweek","month","year","RSS","EntryContent"
"48","April 01, 2025 at 10:19AM",2,2025-04-01,"The Top Goal of Project 2025 Is Still to Come - The Atlantic","all regions","biological sex","Tuesday",4,2025,"17630397442231169432","“In the past, the word &#39;gender&#39; was a polite alternative to the word &#39;sex&#39; or term &#39;<b>biological sex</b>,&#39;” Primorac writes. “The Left has commandeered&nbsp;..."
"49","March 24, 2025 at 09:04AM",1,2025-03-24,"How the Closet Really Works - The Atlantic","USA","transgender","Monday",3,2025,"11193014132467407489","... <b>transgender</b>. Abigail has seen this vanishing act referred to as “woodworking” on the internet—picking up stakes, passing for cis, and fading into&nbsp;..."
"50","March 24, 2025 at 09:04AM",1,2025-03-24,"How the Closet Really Works - The Atlantic","all regions","transgender","Monday",3,2025,"1916116072231156194","... <b>transgender</b>. Abigail has seen this vanishing act referred to as “woodworking” on the internet—picking up stakes, passing for cis, and fading into&nbsp;..."
"51","March 18, 2025 at 10:37AM",1,2025-03-18,"The Life of the Mind Can Only Get You So Far - The Atlantic",NA,"gender ideology","Tuesday",3,2025,"8717893479030415655","The novel begins in 1986, when the narrator has just moved from Sydney to Melbourne to write a thesis about <b>gender roles</b> in the late novels of her&nbsp;..."
"52","March 06, 2025 at 07:45AM",1,2025-03-06,"The 'Reality Check' in Hunter Schafer's Viral Passport Video - The Atlantic","USA","biological sex","Thursday",3,2025,"16843718063138847601","... <b>biological sex</b>, not gender identity. (Schafer, who is 26 years old and has used the female gender marker since her teens, explained that she had&nbsp;..."
"53","March 06, 2025 at 08:40AM",1,2025-03-06,"When a Celebrity Offers a 'Harsh Reality Check' - The Atlantic","all regions","biological sex","Thursday",3,2025,"17630397442231169432","... <b>biological sex</b>, not gender identity. (Schafer, who is 26 years old and has used the female gender marker since her teens, explained that she had&nbsp;..."
"54","February 14, 2025 at 02:15PM",1,2025-02-14,"The Erasing of American Science - The Atlantic",NA,"gender ideology","Friday",2,2025,"8717893479030415655","The terms the Trump administration has flagged as “<b>gender ideology</b>”—a list that includes pregnant people, transgender, binary, non-binary, assigned at&nbsp;..."
"55","January 29, 2025 at 09:45AM",1,2025-01-29,"The Attack on Trans Rights Won't End There - The Atlantic","all regions","biological sex","Wednesday",1,2025,"17630397442231169432","One transgender congressional representative was enough for Republicans to demand that all of the Capitol&#39;s bathrooms be restricted by “<b>biological sex</b>&nbsp;..."
"56","January 29, 2025 at 09:45AM",1,2025-01-29,"The Attack on Trans Rights Won't End There - The Atlantic","USA","biological sex","Wednesday",1,2025,"16843718063138847601","One transgender congressional representative was enough for Republicans to demand that all of the Capitol&#39;s bathrooms be restricted by “<b>biological sex</b>&nbsp;..."
"57","January 29, 2025 at 09:45AM",1,2025-01-29,"The Attack on Trans Rights Won't End There - The Atlantic","USA","gender identity","Wednesday",1,2025,"4028362110021709687","On Monday, Trump issued an executive order purging trans service members from the military on the grounds that “expressing a false &#39;<b>gender identity</b>&nbsp;..."
"58","December 30, 2024 at 06:06AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","USA","biological sex","Monday",12,2024,"16843718063138847601","But in recent years, lawyers have argued over what the law means—does sex cover only <b>biological sex</b>, or gender identity and sexual orientation?"
"59","December 30, 2024 at 06:06AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","USA","transgender","Monday",12,2024,"11193014132467407489","The story of <b>transgender</b> women competing in female sports is frequently told as one of inclusion—creating opportunities for people to compete as their&nbsp;..."
"60","December 30, 2024 at 07:36AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","USA","gender identity","Monday",12,2024,"4028362110021709687","On Joe Biden&#39;s first day in office as president, he issued an executive order opposing discrimination on the basis of <b>gender identity</b>. Its&nbsp;..."
"61","December 30, 2024 at 06:06AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","biological sex","Monday",12,2024,"17630397442231169432","But in recent years, lawyers have argued over what the law means—does sex cover only <b>biological sex</b>, or gender identity and sexual orientation?"
"62","December 30, 2024 at 06:12AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","gender identity","Monday",12,2024,"14792114867614311782","On Joe Biden&#39;s first day in office as president, he issued an executive order opposing discrimination on the basis of <b>gender identity</b>. Its&nbsp;..."
"63","December 30, 2024 at 06:12AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","transgender","Monday",12,2024,"1916116072231156194","The story of <b>transgender</b> women competing in female sports is frequently told as one of inclusion—creating opportunities for people to compete as their&nbsp;..."
"64","December 24, 2024 at 09:06AM",4,2024-12-24,"Are Young Men Really Becoming More Sexist? - The Atlantic",NA,"gender ideology","Tuesday",12,2024,"8717893479030415655","Could the Gen Z political <b>gender</b> gap be an international phenomenon? Today&#39;s episode of Good on Paper is with Dr. Alice Evans, a senior lecturer at&nbsp;..."
"65","December 04, 2024 at 09:38AM",4,2024-12-04,"The Case Against Despair in Trump's Second Term - The Atlantic","USA","biological sex","Wednesday",12,2024,"16843718063138847601","But many civil libertarians want sports to be segregated by <b>biological sex</b>, and don&#39;t see that as a rights violation. They don&#39;t understand it as&nbsp;..."
"66","November 11, 2024 at 12:52PM",4,2024-11-11,"The Democrats' Senate Nightmare Is Only Beginning - The Atlantic","all regions","gender identity","Monday",11,2024,"14792114867614311782","The Democrats Need an Honest Conversation on <b>Gender Identity</b>. The party went into an election with policies it couldn&#39;t defend—or even explain&nbsp;..."
"67","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","transgender","Sunday",11,2024,"11193014132467407489","The party went into an election with policies it couldn&#39;t defend—or even explain."
"68","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","gender identity","Sunday",11,2024,"4028362110021709687","One of the mysteries of this election is how the Democrats approached polling day with a set of policies on <b>gender identity</b> that they were neither&nbsp;..."
"69","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","biological sex","Sunday",11,2024,"16843718063138847601","But most voters think that <b>biological sex</b> is real, and that it matters in law and policy. Instructing them to believe otherwise, and not to ask&nbsp;..."
"70","November 10, 2024 at 01:25PM",4,2024-11-10,"Will Trump Change How We Talk? 'SNL' Thinks So - The Atlantic","USA","gender identity","Sunday",11,2024,"4028362110021709687","The Democrats Need an Honest Conversation on <b>Gender Identity</b> &middot; Helen Lewis &middot; A “Vote Kamala” advertisement hangs defaced with “Trump” graffiti near a&nbsp;..."
"71","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","biological sex","Sunday",11,2024,"17630397442231169432","But most voters think that <b>biological sex</b> is real, and that it matters in law and policy. Instructing them to believe otherwise, and not to ask&nbsp;..."
"72","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","gender identity","Sunday",11,2024,"14792114867614311782","One of the mysteries of this election is how the Democrats approached polling day with a set of policies on <b>gender identity</b> that they were neither&nbsp;..."
"73","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","transgender","Sunday",11,2024,"1916116072231156194","... <b>transgender</b> women to compete in women&#39;s sports—which is why Donald Trump kept bringing up the issue. His campaign also barraged swing-state voters&nbsp;..."
"74","November 10, 2024 at 01:25PM",4,2024-11-10,"Will Trump Change How We Talk? 'SNL' Thinks So - The Atlantic","all regions","gender identity","Sunday",11,2024,"14792114867614311782","The Democrats Need an Honest Conversation on <b>Gender Identity</b> &middot; Helen Lewis &middot; A “Vote Kamala” advertisement hangs defaced with “Trump” graffiti near a&nbsp;..."
"75","November 08, 2024 at 06:39AM",4,2024-11-08,"What the Left Keeps Getting Wrong - The Atlantic","USA","gender identity","Friday",11,2024,"4028362110021709687","... <b>Gender Identity</b> or Sexual Orientation.” The order said that “children should be able to learn without worrying about whether they will be denied&nbsp;..."
"76","November 08, 2024 at 12:40PM",4,2024-11-08,"What the Left Keeps Getting Wrong - The Atlantic","all regions","gender identity","Friday",11,2024,"14792114867614311782","... <b>Gender Identity</b> or Sexual Orientation.” The order said that “children should be able to learn without worrying about whether they will be denied&nbsp;..."
"77","October 24, 2024 at 03:08AM",4,2024-10-24,"The Positions That the Democrats Won't Defend - The Atlantic","USA","gender identity","Thursday",10,2024,"4028362110021709687","The LGBTQ publication The Advocate wrote this up as him having “embraced far-right language around <b>gender identity</b>.” Read: The improbable&nbsp;..."
"78","October 24, 2024 at 06:09AM",4,2024-10-24,"The Positions That the Democrats Won't Defend - The Atlantic","all regions","gender identity","Thursday",10,2024,"14792114867614311782","The LGBTQ publication The Advocate wrote this up as him having “embraced far-right language around <b>gender identity</b>.” Read: The improbable&nbsp;..."
"79","October 24, 2024 at 03:08AM",4,2024-10-24,"The Positions That the Democrats Won't Defend - The Atlantic",NA,"gender ideology","Thursday",10,2024,"8717893479030415655","In trans-rights controversies, conservatives see proof that the left is promoting its own values by fiat."
"80","September 25, 2024 at 03:42PM",3,2024-09-25,"The Atlantic's 2024 Report on Diversity and Inclusion","USA","gender identity","Wednesday",9,2024,"4028362110021709687","We are mindful that the data in this report do not include every measure of identity (e.g., sexual orientation, <b>gender identity</b>, socioeconomic status,&nbsp;..."
"81","September 03, 2024 at 02:42PM",3,2024-09-03,"Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","biological sex","Tuesday",9,2024,"16843718063138847601","In several Republican-controlled states, school boards have implemented rules that restrict the labeling and use of bathrooms to <b>biological sex</b>&nbsp;..."
"82","September 03, 2024 at 04:06PM",3,2024-09-03,"Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","transgender","Tuesday",9,2024,"11193014132467407489","The former president&#39;s claim that public schools are providing sex-change operations is wrong—and dangerous."
"83","September 03, 2024 at 10:26PM",3,2024-09-03,"Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","gender identity","Tuesday",9,2024,"4028362110021709687","... <b>gender identity</b>, and allow students to dress in accordance with that identity. Republican attorneys general and advocacy groups such as Moms for&nbsp;..."
"84","September 03, 2024 at 02:43PM",3,2024-09-03,"Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","all regions","biological sex","Tuesday",9,2024,"17630397442231169432","In several Republican-controlled states, school boards have implemented rules that restrict the labeling and use of bathrooms to <b>biological sex</b>&nbsp;..."
"85","September 03, 2024 at 04:06PM",3,2024-09-03,"Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","all regions","transgender","Tuesday",9,2024,"1916116072231156194","Donald Trump&#39;s Incredible &#39;<b>Transgender</b> Thing&#39;. The former president&#39;s claim that public schools are providing sex-change operations is wrong—and&nbsp;..."
"86","August 12, 2024 at 07:35AM",3,2024-08-12,"How the Gay-Rights Movement Lost Its Way - The Atlantic","USA","transgender","Monday",8,2024,"11193014132467407489","When Sarah Kate Ellis was named president of GLAAD more than a decade ago, the LGBTQ advocacy organization was in dire financial straits."
"87","April 13, 2024 at 12:38AM",2,2024-04-13,"Britain Is Leaving the U.S. Gender-Medicine Debate Behind - The Atlantic","all regions","gender identity","Saturday",4,2024,"14792114867614311782","In Britain, multiple clinicians working at the <b>Gender Identity</b> and Development Service (GIDS) at the Tavistock and Portman Trust, the central&nbsp;..."
"88","April 12, 2024 at 09:37PM",2,2024-04-12,"Britain Is Leaving the U.S. Gender-Medicine Debate Behind - The Atlantic","USA","gender identity","Friday",4,2024,"4028362110021709687","In Britain, multiple clinicians working at the <b>Gender Identity</b> and Development Service (GIDS) at the Tavistock and Portman Trust, the central&nbsp;..."
"89","March 31, 2024 at 07:16AM",1,2024-03-31,"Utah's Promising New Anti-DEI Law - The Atlantic","USA","gender identity","Sunday",3,2024,"4028362110021709687","... <b>gender identity</b>. It forbids offices that help students from excluding anyone based on their identity. It bans mandatory campus training sessions&nbsp;..."
"90","March 31, 2024 at 10:14AM",1,2024-03-31,"Utah's Promising New Anti-DEI Law - The Atlantic","all regions","gender identity","Sunday",3,2024,"14792114867614311782","... <b>gender identity</b>. It forbids offices that help students from excluding anyone based on their identity. It bans mandatory campus training sessions&nbsp;..."
"91","March 25, 2024 at 09:38AM",1,2024-03-25,"The Phantasms of Judith Butler - The Atlantic","USA","biological sex","Monday",3,2024,"16843718063138847601","Butler&#39;s breakout 1990 book, Gender Trouble, argued that <b>biological sex</b>, like gender, is socially constructed, with its physical manifestations&nbsp;..."
"92","March 25, 2024 at 09:38AM",1,2024-03-25,"The Phantasms of Judith Butler - The Atlantic","all regions","biological sex","Monday",3,2024,"17630397442231169432","Butler&#39;s breakout 1990 book, Gender Trouble, argued that <b>biological sex</b>, like gender, is socially constructed, with its physical manifestations&nbsp;..."
"93","March 19, 2024 at 10:16AM",1,2024-03-19,"The Worst Argument for Youth Transition - The Atlantic","USA","gender identity","Tuesday",3,2024,"4028362110021709687","Treating gender dysphoria as a clinical diagnosis with a medical solution, Chu argues, has “hung trans rights on the thin peg of <b>gender identity</b>&nbsp;..."
"94","March 19, 2024 at 10:06PM",1,2024-03-19,"The Worst Argument for Youth Transition - The Atlantic","USA","transgender","Tuesday",3,2024,"11193014132467407489","The point of a public intellectual is to make wild arguments with maximum conviction. And in this respect, Andrea Long Chu—<b>transgender</b> woman,&nbsp;..."
"95","March 19, 2024 at 10:16AM",1,2024-03-19,"The Worst Argument for Youth Transition - The Atlantic","all regions","gender identity","Tuesday",3,2024,"14792114867614311782","Treating gender dysphoria as a clinical diagnosis with a medical solution, Chu argues, has “hung trans rights on the thin peg of <b>gender identity</b>&nbsp;..."
